kode_prov,nama_prov,jenis_pdrb,kode_komp,nama_komp,nilai_jt
12,Sumatera Utara,PRODUKSI,I-52,Jasa Lainnya,10177726.295795606
13,Sumatera Barat,PRODUKSI,I-01,Pertanian Tanaman Pangan ,6534065.873511434
13,Sumatera Barat,PRODUKSI,I-02,"Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya",8591725.950996682
13,Sumatera Barat,PRODUKSI,I-03,Perkebunan Semusim dan Tahunan,13408164.501437975
13,Sumatera Barat,PRODUKSI,I-04,Peternakan ,4360842.290168473
13,Sumatera Barat,PRODUKSI,I-05,Jasa Pertanian dan Perburuan  ,574401.9800553223
13,Sumatera Barat,PRODUKSI,I-06,Kehutanan dan Penebangan Kayu,2508524.07420657
13,Sumatera Barat,PRODUKSI,I-07,Perikanan ,6733395.870261531
13,Sumatera Barat,PRODUKSI,I-08,"Pertambangan Minyak, Gas dan Panas Bumi",0
13,Sumatera Barat,PRODUKSI,I-09,Pertambangan Batubara dan Lignit,57667.954550890216
13,Sumatera Barat,PRODUKSI,I-10,Pertambangan Bijih Logam,106926.71815293253
13,Sumatera Barat,PRODUKSI,I-11,Pertambangan dan Penggalian Lainnya,6881286.191500807
13,Sumatera Barat,PRODUKSI,I-12,Industri Batubara dan Pengilangan Migas,14793.888238358513
13,Sumatera Barat,PRODUKSI,I-13,Industri Makanan dan Minuman ,10157115.683336943
13,Sumatera Barat,PRODUKSI,I-14,Industri Pengolahan Tembakau,36215.555901611995
13,Sumatera Barat,PRODUKSI,I-15,Industri Tekstil dan Pakaian Jadi,847632.754018902
13,Sumatera Barat,PRODUKSI,I-16,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",11717.55756686264
13,Sumatera Barat,PRODUKSI,I-17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",681930.8171150291
13,Sumatera Barat,PRODUKSI,I-18,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",87749.8127842314
13,Sumatera Barat,PRODUKSI,I-19,"Industri Kimia, Farmasi dan Obat Tradisional",33453.44173427062
13,Sumatera Barat,PRODUKSI,I-20,"Industri Karet, Barang dari Karet dan Plastik",2168923.317064404
13,Sumatera Barat,PRODUKSI,I-21,Industri Barang Galian bukan Logam,3740315.3282692293
13,Sumatera Barat,PRODUKSI,I-22,Industri Logam Dasar ,0
13,Sumatera Barat,PRODUKSI,I-23,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",125915.07818105046
13,Sumatera Barat,PRODUKSI,I-24,Industri Mesin dan Perlengkapan YTDL,0
13,Sumatera Barat,PRODUKSI,I-25,Industri Alat Angkutan,5949.449815097294
13,Sumatera Barat,PRODUKSI,I-26,Industri Furnitur,424741.05164451676
13,Sumatera Barat,PRODUKSI,I-27,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",82077.10118353626
13,Sumatera Barat,PRODUKSI,I-28,Ketenagalistrikan ,597499.7281689877
13,Sumatera Barat,PRODUKSI,I-29,Pengadaan Gas dan Produksi Es,1183.7252606154289
13,Sumatera Barat,PRODUKSI,I-30,"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",326691.7563107378
13,Sumatera Barat,PRODUKSI,I-31,Konstruksi,17795323.381364148
13,Sumatera Barat,PRODUKSI,I-32,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",5274775.507119617
13,Sumatera Barat,PRODUKSI,I-33,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",19140806.802220963
13,Sumatera Barat,PRODUKSI,I-34,Angkutan Rel ,36155.95668614026
13,Sumatera Barat,PRODUKSI,I-35,Angkutan Darat,12599853.816394122
13,Sumatera Barat,PRODUKSI,I-36,Angkutan Laut ,717614.944456807
13,Sumatera Barat,PRODUKSI,I-37,Angkutan Sungai Danau dan Penyeberangan,401605.3185289638
13,Sumatera Barat,PRODUKSI,I-38,Angkutan Udara,3586707.1635623146
13,Sumatera Barat,PRODUKSI,I-39,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",2422918.489693519
13,Sumatera Barat,PRODUKSI,I-40,Penyediaan Akomodasi ,1377982.1970639485
13,Sumatera Barat,PRODUKSI,I-41,Penyediaan Makan Minum,5783190.6334696505
13,Sumatera Barat,PRODUKSI,I-42,Jasa Informasi dan Komunikasi,9201380.926184727
13,Sumatera Barat,PRODUKSI,I-43,Jasa Perantara Keuangan Selain Bank Sentral,4014754.762187149
